-----------------------------------------------------------------
                           COLOR TABLE
COLOR                | RED  | GREEN | BLUE |
purple8              | 0.33 | 0.00  | 0.57 |
orange1              | 1.00 | 0.87  | 0.78 |
orange2              | 0.99 | 0.78  | 0.63 |
orange3              | 0.98 | 0.69  | 0.49 |
orange4              | 0.91 | 0.56  | 0.31 |
orange5              | 0.82 | 0.41  | 0.12 |
orange6              | 0.73 | 0.30  | 0.00 |
orange7              | 0.60 | 0.25  | 0.00 |
orange8              | 0.45 | 0.19  | 0.00 |
gray1                | 0.94 | 0.94  | 0.94 |
gray2                | 0.87 | 0.87  | 0.87 |
gray3                | 0.78 | 0.78  | 0.78 |
gray4                | 0.67 | 0.67  | 0.67 |
gray5                | 0.57 | 0.57  | 0.57 |
gray6                | 0.47 | 0.47  | 0.47 |
gray7                | 0.37 | 0.37  | 0.37 |
gray8                | 0.29 | 0.29  | 0.29 |
----------------------------------------------------------------
